2.5e-06 -0.0048828125 -0.00859375	0.027734375 0.9970703125
0.0006975 0.02607421875 0.0322265625	0.026171875 1.169921875
0.0007 0.0259765625 0.0322265625	0.0259765625 1.1689453125
0.0007025 0.0259765625 0.03203125	0.0259765625 1.169921875
0.000705 0.02607421875 0.03232421875	0.0259765625 1.169921875
0.0007075 0.0259765625 0.03212890625	0.0259765625 1.169921875
0.00071 0.0259765625 0.0322265625	0.0259765625 1.169921875
0.0007125 0.02548828125 0.0314453125	0.02587890625 1.169921875
0.000715 0.02587890625 0.0322265625	0.02587890625 1.1689453125
0.0007175 0.02607421875 0.03232421875	0.0259765625 1.169921875
0.00072 0.02587890625 0.03203125	0.0259765625 1.169921875
0.0007225 0.0259765625 0.03251953125	0.02587890625 1.169921875
0.000725 0.02578125 0.03212890625	0.02578125 1.1689453125
0.0007275 0.02568359375 0.03212890625	0.02578125 1.1689453125
0.00073 0.02578125 0.03193359375	0.02587890625 1.169921875
0.0007325 0.02578125 0.03173828125	0.02578125 1.1689453125
0.000735 0.02568359375 0.0318359375	0.02578125 1.1689453125
0.0007375 0.02578125 0.0318359375	0.02587890625 1.1689453125
0.00074 0.0255859375 0.03173828125	0.02568359375 1.1689453125
0.0007425 0.0255859375 0.031640625	0.02578125 1.1689453125
0.000745 0.02568359375 0.03173828125	0.0255859375 1.1689453125
0.0007475 0.02548828125 0.031640625	0.02568359375 1.1689453125
0.00075 0.02548828125 0.0318359375	0.025390625 1.16796875
0.0007525 0.02548828125 0.0322265625	0.02548828125 1.1689453125
0.000755 0.025390625 0.0314453125	0.0255859375 1.1689453125
0.0007575 0.025390625 0.03154296875	0.02548828125 1.1689453125
0.00076 0.02548828125 0.03154296875	0.02548828125 1.1689453125
0.0007625 0.02548828125 0.03193359375	0.0255859375 1.1689453125
0.000765 0.025390625 0.03134765625	0.025390625 1.1689453125
0.0007675 0.0251953125 0.03115234375	0.025390625 1.16796875
0.00077 0.025390625 0.0314453125	0.02548828125 1.16796875
0.0007725 0.0251953125 0.0310546875	0.025390625 1.1689453125
0.000775 0.0251953125 0.03134765625	0.02529296875 1.16796875
0.0007775 0.025390625 0.0314453125	0.02548828125 1.1689453125
0.00078 0.025390625 0.0310546875	0.025390625 1.16796875
0.0007825 0.02529296875 0.031640625	0.025390625 1.16796875
0.000785 0.02529296875 0.03115234375	0.02529296875 1.16796875
0.0007875 0.02529296875 0.03125	0.02568359375 1.169921875
0.00079 0.0251953125 0.0310546875	0.0251953125 1.16796875
0.0007925 0.02509765625 0.03095703125	0.0251953125 1.16796875
0.000795 0.02509765625 0.03125	0.025390625 1.1689453125
0.0007975 0.02509765625 0.03095703125	0.025390625 1.16796875
0.0008 0.0251953125 0.03125	0.02509765625 1.16796875
0.0008025 0.02509765625 0.0306640625	0.0251953125 1.16796875
0.000805 0.025 0.030859375	0.025 1.1669921875
0.0008075 0.02509765625 0.030859375	0.0248046875 1.1669921875
0.00081 0.02509765625 0.0310546875	0.02509765625 1.16796875
0.0008125 0.0251953125 0.03125	0.025 1.16796875
0.000815 0.02490234375 0.03095703125	0.025 1.16796875
0.0008175 0.02490234375 0.03056640625	0.02470703125 1.16796875
0.00082 0.025 0.03076171875	0.02509765625 1.16796875
0.0008225 0.025 0.030859375	0.02490234375 1.16796875
0.000825 0.0251953125 0.03095703125	0.02490234375 1.16796875
0.0008275 0.025 0.03076171875	0.0251953125 1.1689453125
0.00083 0.0248046875 0.03056640625	0.0248046875 1.1669921875
0.0008325 0.024609375 0.030078125	0.02490234375 1.16796875
0.000835 0.0248046875 0.03076171875	0.02470703125 1.1669921875
0.0008375 0.02490234375 0.03056640625	0.02509765625 1.16796875
0.00084 0.02470703125 0.03037109375	0.02490234375 1.1669921875
0.0008425 0.0244140625 0.02978515625	0.02490234375 1.16796875
0.000845 0.0248046875 0.03037109375	0.0248046875 1.16796875
0.0008475 0.02470703125 0.03046875	0.02470703125 1.1669921875
0.00085 0.02490234375 0.03056640625	0.0248046875 1.16796875
0.0008525 0.02470703125 0.03037109375	0.02490234375 1.1669921875
0.000855 0.02470703125 0.03046875	0.02431640625 1.166015625
0.0008575 0.024609375 0.03046875	0.02451171875 1.1669921875
0.00086 0.02470703125 0.03037109375	0.02451171875 1.1669921875
0.0008625 0.02470703125 0.0306640625	0.024609375 1.1669921875
0.000865 0.024609375 0.030078125	0.024609375 1.1669921875
0.0008675 0.02451171875 0.02998046875	0.024609375 1.1669921875
0.00087 0.02470703125 0.03017578125	0.02451171875 1.1669921875
0.0008725 0.0248046875 0.0306640625	0.02470703125 1.1669921875
0.000875 0.024609375 0.03037109375	0.02470703125 1.16796875
0.0008775 0.024609375 0.03017578125	0.02470703125 1.1669921875
0.00088 0.024609375 0.03017578125	0.02451171875 1.1669921875
0.0008825 0.02451171875 0.03037109375	0.024609375 1.16796875
0.000885 0.02451171875 0.03017578125	0.0244140625 1.1669921875
0.0008875 0.02451171875 0.030078125	0.02431640625 1.166015625
0.00089 0.02431640625 0.02978515625	0.0244140625 1.1669921875
0.0008925 0.02421875 0.0296875	0.02451171875 1.166015625
0.000895 0.0244140625 0.0298828125	0.0244140625 1.1669921875
0.0008975 0.0244140625 0.02998046875	0.02431640625 1.166015625
0.0009 0.0244140625 0.03017578125	0.0244140625 1.1669921875
0.0009025 0.02421875 0.0296875	0.0244140625 1.1669921875
0.000905 0.02431640625 0.02978515625	0.0240234375 1.166015625
0.0009075 0.02431640625 0.02978515625	0.0244140625 1.1669921875
0.00091 0.02431640625 0.02978515625	0.02421875 1.166015625
0.0009125 0.02431640625 0.02958984375	0.02431640625 1.1669921875
0.000915 0.02421875 0.02958984375	0.02421875 1.1669921875
0.0009175 0.0240234375 0.0291015625	0.0244140625 1.1669921875
0.00092 0.02412109375 0.0294921875	0.02421875 1.166015625
0.0009225 0.02412109375 0.0291015625	0.02412109375 1.166015625
0.000925 0.02421875 0.0296875	0.02421875 1.166015625
0.0009275 0.02412109375 0.02939453125	0.02392578125 1.1650390625
0.00093 0.0240234375 0.02939453125	0.02412109375 1.166015625
0.0009325 0.02412109375 0.02919921875	0.02412109375 1.166015625
0.000935 0.0240234375 0.02939453125	0.02412109375 1.166015625
0.0009375 0.0240234375 0.02939453125	0.02392578125 1.166015625
0.00094 0.0240234375 0.0291015625	0.0240234375 1.166015625
0.0009425 0.0240234375 0.02900390625	0.02412109375 1.166015625
0.000945 0.0240234375 0.02939453125	0.02412109375 1.166015625
0.0009475 0.02392578125 0.02919921875	0.0240234375 1.166015625
0.00095 0.02412109375 0.029296875	0.0240234375 1.166015625
0.0009525 0.02412109375 0.02939453125	0.02392578125 1.166015625
0.000955 0.02392578125 0.0291015625	0.02373046875 1.1650390625
0.0009575 0.02392578125 0.0291015625	0.02421875 1.1669921875
0.00096 0.023828125 0.02900390625	0.0240234375 1.166015625
0.0009625 0.0240234375 0.02919921875	0.0240234375 1.166015625
0.000965 0.02392578125 0.0291015625	0.023828125 1.166015625
0.0009675 0.02392578125 0.02890625	0.02412109375 1.166015625
0.00097 0.023828125 0.02900390625	0.0240234375 1.1650390625
0.0009725 0.02373046875 0.02890625	0.023828125 1.1650390625
0.000975 0.023828125 0.02900390625	0.0236328125 1.166015625
0.0009775 0.0236328125 0.0287109375	0.023828125 1.1650390625
0.00098 0.023828125 0.02900390625	0.02373046875 1.1650390625
0.0009825 0.02373046875 0.02890625	0.023828125 1.166015625
0.000985 0.0236328125 0.02861328125	0.02373046875 1.1650390625
0.0009875 0.02373046875 0.0287109375	0.0236328125 1.1650390625
0.00099 0.02373046875 0.02880859375	0.02373046875 1.1650390625
0.0009925 0.023828125 0.02919921875	0.02373046875 1.1650390625
0.000995 0.0236328125 0.02841796875	0.0236328125 1.1650390625
0.0009975 0.0236328125 0.02861328125	0.0236328125 1.166015625
0.001 0.02373046875 0.0287109375	0.02353515625 1.1650390625
0.0010025 0.0236328125 0.028515625	0.0236328125 1.1650390625
0.001005 0.0236328125 0.028515625	0.02373046875 1.1650390625
0.0010075 0.0234375 0.0283203125	0.02353515625 1.1650390625
0.00101 0.02353515625 0.028515625	0.02353515625 1.1650390625
0.0010125 0.0234375 0.02822265625	0.02353515625 1.1650390625
0.001015 0.02353515625 0.028515625	0.02353515625 1.1640625
0.0010175 0.0234375 0.028515625	0.0234375 1.1650390625
0.00102 0.02353515625 0.0283203125	0.0234375 1.1650390625
0.0010225 0.02333984375 0.028125	0.0234375 1.1650390625
0.001025 0.0234375 0.02841796875	0.0234375 1.1650390625
0.0010275 0.02353515625 0.02841796875	0.02333984375 1.1650390625
0.00103 0.023046875 0.02734375	0.0236328125 1.166015625
0.0010325 0.0232421875 0.02783203125	0.02333984375 1.1640625
0.001035 0.0232421875 0.028125	0.0234375 1.1650390625
0.0010375 0.0232421875 0.0279296875	0.0234375 1.1650390625
0.00104 0.02314453125 0.028125	0.0232421875 1.1650390625
0.0010425 0.0232421875 0.02802734375	0.0232421875 1.1650390625
0.001045 0.0232421875 0.02802734375	0.0232421875 1.1640625
0.0010475 0.02314453125 0.02802734375	0.02333984375 1.1650390625
0.00105 0.0236328125 0.02900390625	0.0232421875 1.1640625
0.0010525 0.0232421875 0.027734375	0.02314453125 1.1640625
0.001055 0.02314453125 0.027734375	0.02333984375 1.1650390625
0.0010575 0.0232421875 0.0279296875	0.02314453125 1.1640625
0.00106 0.0232421875 0.0275390625	0.02314453125 1.1640625
0.0010625 0.02314453125 0.02783203125	0.02314453125 1.1640625
0.001065 0.0232421875 0.0279296875	0.02294921875 1.1640625
0.0010675 0.023046875 0.02763671875	0.023046875 1.1640625
0.00107 0.0228515625 0.02734375	0.02294921875 1.1640625
0.0010725 0.02294921875 0.02763671875	0.023046875 1.1640625
0.001075 0.02294921875 0.02744140625	0.02294921875 1.1640625
0.0010775 0.0228515625 0.02724609375	0.023046875 1.1640625
