0.000596 0.02666015625 0.04228515625	0.025390625 1.15625
0.000598 0.02626953125 0.04169921875	0.02626953125 1.1591796875
0.0006 0.02607421875 0.04130859375	0.02626953125 1.16015625
0.000602 0.02666015625 0.0421875	0.02626953125 1.16015625
0.000604 0.02646484375 0.0421875	0.026171875 1.1591796875
0.000606 0.0263671875 0.04189453125	0.0265625 1.16015625
0.000608 0.02626953125 0.04169921875	0.02666015625 1.1611328125
0.00061 0.0259765625 0.04111328125	0.02587890625 1.1591796875
0.000612 0.02587890625 0.04111328125	0.02587890625 1.158203125
0.000614 0.02607421875 0.04130859375	0.02626953125 1.1591796875
0.000616 0.02587890625 0.041015625	0.0263671875 1.16015625
0.000618 0.02626953125 0.041796875	0.026171875 1.1591796875
0.00062 0.02646484375 0.04228515625	0.026171875 1.1591796875
0.000622 0.02626953125 0.04189453125	0.02626953125 1.16015625
0.000624 0.026171875 0.041796875	0.02724609375 1.1640625
0.000626 0.02587890625 0.04130859375	0.0259765625 1.1591796875
0.000628 0.02529296875 0.039453125	0.0259765625 1.1591796875
0.00063 0.02568359375 0.0404296875	0.026171875 1.1591796875
0.000632 0.0259765625 0.0412109375	0.0265625 1.16015625
0.000634 0.0259765625 0.04140625	0.02626953125 1.16015625
0.000636 0.02607421875 0.04140625	0.02607421875 1.1591796875
0.000638 0.02626953125 0.0419921875	0.0263671875 1.1611328125
0.00064 0.02607421875 0.041796875	0.02666015625 1.162109375
0.000642 0.02607421875 0.04150390625	0.026171875 1.1591796875
0.000644 0.0255859375 0.0404296875	0.02587890625 1.158203125
0.000646 0.02548828125 0.04033203125	0.02607421875 1.1591796875
0.000648 0.02568359375 0.0408203125	0.02587890625 1.1591796875
0.00065 0.0259765625 0.04130859375	0.02607421875 1.1591796875
0.000652 0.0259765625 0.0416015625	0.0255859375 1.158203125
0.000654 0.02587890625 0.04091796875	0.0259765625 1.1591796875
0.000656 0.02626953125 0.0419921875	0.02666015625 1.162109375
0.000658 0.02548828125 0.04052734375	0.0263671875 1.162109375
0.00066 0.02568359375 0.04091796875	0.02587890625 1.1591796875
0.000662 0.02587890625 0.0412109375	0.02578125 1.158203125
